x,y,label
-70018.32942733789,-19617.245472147228,busses 
37974.87945730803,98151.24121182249,minerals 
41702.969325677084,33964.682500733834,explosive 
76282.90222509124,1553.3270315630439,prepare 
-85508.68448717,17149.383060791097,rhnealpes 
-53999.46985958564,-25580.46496622589,half 
-62399.29448666582,-46617.74889452921,bludgeoning 
-73116.23190337811,-14863.270862349471,spilling 
-61401.05186482936,-30660.2656677905,spoke 
-14525.1715185547,-45128.042813462715,bakutbilisiceyhan 
-66808.17686392812,-46521.7878651802,fifty 
-22400.317521862653,-44238.92482693601,unimpressed 
53085.48946118295,38180.83800871095,shooting 
-16213.559955158731,-42496.3503543672,withdrawn 
-13150.286296618473,28617.502541091657,hall 
-47983.823128227166,-41858.53550780596,clinton 
33958.12981016232,26036.07317539849,owners 
-16185.166425482666,25417.370056681917,courierjournal 
19595.900298930384,67985.85769526116,pollution 
-21538.064500621353,-77798.40081977067,naturalized 
95059.97755942101,-42209.62474924767,guards 
-21945.233583646328,-18558.105839165757,approved 
24599.281089851753,27144.05655807714,imperfect 
-19074.211891408813,-30291.904808384723,pick 
-0.007995580337081953,-0.011160705420079967,pressly 
3597.125675224532,31911.656788032422,brooklyn 
-23755.343663699132,86131.96341514942,ten 
12421.315483631268,13857.002946138015,energy 
-3.31664787799518E-4,-0.019464043886506473,deference 
-0.01826107279578179,-0.048239832151792984,successfully 
-0.007554577065500961,-0.008593564786487694,cdc 
-1957.2178044989544,-2642.39757161147,antonio 
-76646.41276249183,-25167.49887176595,delfino 
0.07979056933201276,-0.05224928113242644,meanwhile 
-6490.805362629431,20034.86063608005,switzerland 
-10887.90820026956,30389.93131345619,squares 
6937.961888059336,-60107.0294366253,investment 
58711.057996894946,56848.972603742106,coincide 
-8407.137308244313,87657.20007350434,require 
-36474.64337463447,15921.799982604805,carriers 
9692.183038912703,37718.505648392565,downey 
11402.799845699494,13015.59819343156,highspeed 
0.04695378998910973,-0.0567669886598314,standards 
36351.441058250646,-40206.5071308419,solis 
-29701.28129245183,-35675.61347666202,crittenton 
-107310.92702998091,19991.483513827923,grattan 
-26240.142622625634,-32505.672985295278,moore 
-2573.305407340274,2617.368138838245,size 
24684.33870275909,-48439.91571290396,reserved 
-25971.37164849058,3762.351946464677,left 
-19658.139857866165,64211.177210253336,temper 
-58652.510284848904,-19041.56753132981,resumption 
-50345.462695563096,-27180.55867965467,seitles 
31727.68109101792,67459.523106357,protective 
-6232.188925191195,35983.31726536935,cardiac 
-69184.95324547542,32256.472100076444,newspaper 
73982.1407262997,-20278.539219446262,telling 
-87392.82968933611,-11303.09372713606,spends 
-5872.684782372562,-76557.22347799201,role 
-20962.902044160535,-90389.71498607159,hosting 
49353.24904422721,35779.93574517271,turn 
-69661.6971367904,26145.925255562863,example 
-23897.97397757369,73163.30953239047,result 
36154.82739188879,27076.731556293238,elsenhans 
-56139.55817070359,76457.0302180482,gold 
19448.860553603943,75012.08136634903,sizemore 
-31688.514461549472,55666.850403414704,opposition 
3558.96682120606,-74469.0756220728,characters 
-22795.752504936143,-17975.736941720173,balances 
-58833.348185994495,56324.2677223459,hikes 
26262.242472491118,58579.7012750066,golf 
-35807.78822889347,-2351.019002529843,procedures 
-0.022506113628393682,0.02273334751145444,commentating 
-0.019455697984251754,0.014299781241508679,resuscitation 
17116.269452446453,4351.432011145482,commission 
27178.01903837122,-56573.153174117666,quiet 
43165.39574070716,-34241.55737873929,raids 
-25879.418091403462,21844.071062029238,resigned 
54726.11243502626,-44703.41435058441,hand 
-53402.823601907294,52134.06366890955,policy 
45517.47766625927,-31235.869898570443,napoleon 
55795.188268570644,19153.183673495165,ordered 
-39239.00676235945,103559.30666066187,lunchtime 
63158.98222653295,-20723.905422625972,aprilworsening 
-65456.524558101526,-83389.98444937776,address 
60027.07631273285,-21667.548500932073,laden 
88625.95415665634,-28320.825220553226,exwales 
44323.63482006541,-17646.00737791151,decapitate 
17308.945699867545,68583.42540238147,gibson 
-83899.63860127966,-873.1345176472552,munichbased 
-70554.46492994942,50245.04109952832,eating 
-23749.65407028926,56236.31096436525,blood 
-18853.22038774409,-91912.27331428343,accumulates 
9019.795154859747,14484.485097475073,neighbor 
47132.84340502896,48172.66660792902,obeying 
38264.101019871494,33836.60401335087,towed 
7336.859623817449,-83083.71602344689,gripping 
-91635.62914258098,56598.16875255661,straight 
47949.43231852607,32028.20688216585,destroyed 
-19362.08657438511,55527.523772639055,sale 
-11586.489223043018,84846.27996499349,police 
16525.409151415617,-35322.422790316115,throw 
-4599.089677562304,-82502.00343915347,stature 
14775.502519539225,74112.58854588783,obvious 
14899.026976579959,-79184.68015270852,fifth 
-62552.74069842649,-10004.484575798004,information 
54690.813872915554,59435.41831604008,flintstone 
-72024.67130167616,16837.465685496434,adrian 
-43944.137803074314,-37822.475462333525,surgery 
4791.066276167837,81409.36616986182,violent 
-30845.191526433,-67681.87177200953,november 
21776.15139670632,39865.77707541399,resolve 
30138.29829773523,23145.206023872062,doping 
-25608.84618061607,-73348.24352563302,good 
-0.005515892679867445,0.03162122965712616,empty 
-13801.840834903069,8887.650361967897,suffered 
17574.40130677696,-65160.91121551889,ferrets 
50440.16415570189,-42390.061648424635,hacks 
-0.023354135098522685,0.06081076630969505,speakers 
-5993.196372569835,24720.39436059098,tin 
31942.283229087876,-58225.95124371201,tim 
-398034.14470008976,117002.46194291995,serious 
9493.830590466236,-56242.50120528252,implement 
15048.655690059468,-61770.187440582056,tip 
100536.70128373944,18556.322203205513,hardened 
45476.33723079444,14540.512981019425,others 
-51652.74472094976,-46460.952852365604,predicted 
